Name,Rationale,Features_Weights,LOPO_AUC,Median,Std,InSample_AUC,Overfitting_Gap
H14_bind_plus_3tcr,Binding + all three significant TCR features,bind_log50k:0.4; tcr_volume_mut:0.2; tcr_charge_diff:0.2; tcr_hydrophobicity_mut:0.2,0.7577020202020202,0.8106060606060606,0.1073963654568225,0.6544715447154471,-0.10323047548657305
H20_kitchen_sink,Binding + expression + all TCR features,bind_log50k:0.3; expression_score:0.1; tcr_volume_mut:0.2; tcr_charge_diff:0.2; tcr_hydrophobicity_mut:0.2,0.7535353535353536,0.8106060606060606,0.11464423973278275,0.6487804878048781,-0.10475486573047554
H13_bind_vol_hydro,Binding + volume + hydrophobicity,bind_log50k:0.5; tcr_volume_mut:0.25; tcr_hydrophobicity_mut:0.25,0.7405303030303031,0.759090909090909,0.12547106677677622,0.7048780487804878,-0.03565225424981533
H15_tcr_only,TCR features only (no binding),tcr_volume_mut:0.33; tcr_charge_diff:0.33; tcr_hydrophobicity_mut:0.34,0.7349747474747476,0.7424242424242424,0.10910179577646197,0.6373983739837398,-0.09757637349100778
H2_bind_plus_charge_diff,Binding + TCR charge change from mutation,bind_log50k:0.6; tcr_charge_diff:0.4,0.7188552188552189,0.75,0.21284202259231577,0.6630081300813009,-0.055847088773917974
H12_bind_vol_charge,Binding + two best TCR features,bind_log50k:0.5; tcr_volume_mut:0.25; tcr_charge_diff:0.25,0.717003367003367,0.7329545454545454,0.09835846879860029,0.6398373983739837,-0.0771659686293833
H17_bind_heavy_tcr_volume,Binding-heavy + TCR volume,bind_log50k:0.7; tcr_volume_mut:0.3,0.7100589225589226,0.7287878787878788,0.1094549062690456,0.7,-0.0100589225589226
H18_equal_bind_tcr_volume,Equal binding + TCR volume,bind_log50k:0.5; tcr_volume_mut:0.5,0.7072811447811448,0.7204545454545455,0.10988557528804345,0.6951219512195121,-0.012159193561632642
H1_bind_plus_tcr_volume,Binding + TCR surface volume,bind_log50k:0.6; tcr_volume_mut:0.4,0.7072811447811448,0.7204545454545455,0.10988557528804345,0.6951219512195121,-0.012159193561632642
H19_tcr_volume_heavy,TCR volume dominant,bind_log50k:0.3; tcr_volume_mut:0.7,0.7072811447811448,0.7204545454545455,0.10988557528804345,0.6959349593495935,-0.011346185431551303
H5_bind_plus_iedb,Binding + Calis TCR immunogenicity,bind_log50k:0.6; iedb_immuno:0.4,0.6562289562289562,0.6499999999999999,0.13507014237716816,0.6252032520325204,-0.0310257041964358
H3_bind_plus_hydro,Binding + TCR surface hydrophobicity,bind_log50k:0.6; tcr_hydrophobicity_mut:0.4,0.6559343434343433,0.6886363636363636,0.14999771492664812,0.6601626016260163,0.00422825819167294
H0_binding_only,Baseline: binding affinity alone,bind_log50k:1.0,0.6493686868686869,0.7,0.14349640542736405,0.633739837398374,-0.015628849470312844
H9_bind_plus_expression,Binding + expression (original RL feature),bind_log50k:0.6; expression_score:0.4,0.6457070707070707,0.6916666666666667,0.11237402110961796,0.6085365853658536,-0.03717048534121703
H16_rl_v1_dynamic,Original rl_v1 weights (renormalized to 3 features),bind_log50k:0.5; expression_score:0.33; self_dissimilarity:0.17,0.6401515151515152,0.6833333333333333,0.10877391514446616,0.5975609756097561,-0.042590539541759176
H6_bind_plus_iedb_diff,Binding + differential Calis immunogenicity,bind_log50k:0.6; iedb_immuno_diff:0.4(inv),0.6341750841750842,0.6972222222222223,0.24184953389118946,0.582520325203252,-0.05165475897183214
H4_bind_plus_surface_change,Binding + composite TCR surface change,bind_log50k:0.6; tcr_surface_change:0.4,0.6298821548821549,0.6125,0.11070601339333062,0.6455284552845528,0.015646300402397895
H11_bind_plus_position,Binding + mutation centrality in peptide,bind_log50k:0.6; mut_position_centrality:0.4,0.6281986531986531,0.6262626262626263,0.12024027015934359,0.6020325203252033,-0.02616613287344982
H7_bind_plus_dai,Binding + differential agretopicity,bind_log50k:0.6; dai:0.4,0.6101430976430976,0.6984848484848485,0.21843898598960196,0.6142276422764228,0.004084544633325193
H10_bind_plus_anchor,Binding + anchor residue quality,bind_log50k:0.6; anchor_quality:0.4,0.6058501683501684,0.543939393939394,0.2026583154751622,0.5947154471544716,-0.011134721195696806
H8_bind_plus_foreignness,Binding + self-proteome foreignness,bind_log50k:0.6; proteome_foreignness:0.4(inv),0.5743686868686869,0.5375,0.20014171625641328,0.5967479674796747,0.022379280610987817
